topic_id,words,scores
30,"['bug', 'ive', 'year', 'buggy', 'mod', 'app', 'hard', 'elden', 'ring', 'grind']","[-0.443282702625682, 0.2893529520741793, -0.20223273243854092, -0.17641683556985108, 0.1582581741838017, 0.15216197745121895, -0.1499976002879082, -0.1481047462749509, -0.14617870793975588, 0.145195391599529]"
31,"['fucking', 'overrated', 'suck', 'as', 'fuck', 'better', 'ive', 'trash', 'rpg', 'mod']","[0.5256799616949335, -0.4838011051305602, -0.2526950775364106, 0.19341317511533393, -0.18372931576194915, -0.16176315291525822, 0.1471019830378772, 0.1454658427795998, 0.1446021029522078, 0.1339951504658139]"
32,"['overrated', 'better', 'fucking', 'bos', 'rpg', 'year', 'app', 'fight', 'ive', 'bug']","[-0.38132386875062085, 0.3111563751487918, 0.2629423175992188, -0.23151647641244616, -0.1575667253097896, 0.14933466162380668, -0.1491881448489161, -0.14750588314657845, -0.14452500198304483, -0.1432842405531922]"
33,"['trash', 'world', 'year', 'open', 'overrated', 'better', 'rpg', 'work', 'poe', 'as']","[-0.2944980343360968, 0.2885561761145043, -0.26099823478258755, 0.25773077954368095, -0.2547143140715502, -0.22345867470376368, -0.21725356956316833, 0.21416012628235762, 0.17595046837406206, -0.1649073000469696]"
34,"['overrated', 'fucking', 'fuck', 'world', 'open', 'suck', 'app', 'trash', 'rpg', 'story']","[0.6614134540242131, 0.3739923191894747, -0.24059315331635783, 0.22380652756883654, 0.19379573217481427, -0.1696214655180272, -0.12775362662326656, 0.11869861698316377, -0.11465765726555918, -0.11285678873249036]"
35,"['app', 'work', 'trash', 'awesome', 'doesnt', 'rpg', 'gameplay', 'world', 'quest', 'ive']","[0.4003707442756858, -0.3339920033458534, 0.3176644896484799, -0.26403484136917793, -0.20313432386091845, -0.17938362691197546, -0.16126870495578577, 0.15678131738382314, 0.15670135980505606, 0.1461915445758318]"
36,"['awesome', 'rpg', 'story', 'app', 'graphic', 'work', 'trash', 'poe', 'fucking', 'save']","[-0.8048624786189821, 0.2039072160511495, 0.1990889225847543, -0.18053436732637784, -0.13935225473259022, 0.13773294545460965, 0.11278738323949888, 0.10283474212225518, 0.09561897644072852, 0.08694458344004032]"
37,"['mid', 'better', 'year', 'pretty', 'ive', 'favorite', 'trash', 'rpg', 'as', 'greatest']","[-0.441900903935836, -0.36719264021546544, 0.2297842877638048, -0.22219569546414927, -0.19180386438227603, 0.19005834970414456, 0.1587946804173716, -0.1515093150558584, -0.14820290757959573, 0.13967952486929847]"
38,"['trash', 'mid', 'world', 'fucking', 'as', 'open', 'app', 'gameplay', 'year', 'buggy']","[-0.371252408291747, -0.2967887243573179, -0.24862390419061267, 0.24241642382562414, -0.2367711617001469, -0.2349877272499248, 0.2116585504544677, -0.20422154410692456, -0.19720076368079442, -0.16910161591186582]"
39,"['trash', 'mid', 'as', 'better', 'launch', 'awesome', 'year', 'work', 'overrated', 'gameplay']","[0.5322880779156566, -0.4139714857197126, -0.2783172619891769, 0.22178825598291957, -0.21062001055679874, 0.1966852964404896, -0.1501626840402914, 0.13203109371527494, -0.1064073545829342, 0.10540160884353574]"
