topic_id,words,scores
39,"['learning', 'man', 'dialog', 'curve', 'luck', 'head', 'talk', 'hang', 'wild', 'insanely']","[0.1147376, 0.10004387, 0.07619807, 0.06960479, 0.057861857, 0.054562144, 0.03909455, 0.031291183, 0.029130884, 0.027427008]"
40,"['feel', 'way', 'thing', 'first', 'enemy', 'point', 'dont', 'there', 'character', 'area']","[0.0121770315, 0.010341279, 0.009176425, 0.007917604, 0.007900558, 0.0072268536, 0.0068957256, 0.0066346875, 0.0061370223, 0.0058159237]"
41,"['stop', 'control', 'mouse', 'learn', 'gamer', 'gamers', 'step', 'bland', 'direction', 'keyboard']","[0.09813615, 0.090744674, 0.047570437, 0.042891424, 0.03768348, 0.035702802, 0.033980034, 0.033170853, 0.031302482, 0.028707542]"
42,"['friend', 'said', 'always', 'video', 'must', 'someone', 'alone', 'never', 'normally', 'heart']","[0.190086, 0.10420908, 0.098227195, 0.08343794, 0.07911307, 0.054457925, 0.036832538, 0.031275634, 0.019492932, 0.015000973]"
43,"['level', 'item', 'loot', 'difficulty', 'skill', 'damage', 'system', 'crafting', 'character', 'drop']","[0.06327657, 0.03861434, 0.024376389, 0.018038906, 0.015782133, 0.01559901, 0.013567976, 0.012162826, 0.01184981, 0.010828942]"
44,"['move', 'follow', 'totally', 'added', 'woke', 'obvious', 'comparison', 'touch', 'looked', 'satisfaction']","[0.07435371, 0.06259314, 0.06200067, 0.043106653, 0.0346819, 0.028092317, 0.02461456, 0.024606735, 0.021413967, 0.020614773]"
45,"['dont', 'anything', 'care', 'something', 'thing', 'look', 'cant', 'need', 'hundred', 'actually']","[0.053244606, 0.034123424, 0.024450026, 0.023828188, 0.017665891, 0.016216394, 0.015718402, 0.015278514, 0.015276289, 0.014970927]"
46,"['far', 'arpg', 'perfect', 'gem', 'franchise', 'wan', 'endless', 'dead', 'opinion', 'comment']","[0.29762015, 0.1435935, 0.11369464, 0.06897181, 0.06725814, 0.03109227, 0.031050298, 0.030081453, 0.027133362, 0.015502392]"
47,"['voice', 'writing', 'acting', 'creator', 'sound', 'character', 'deck', 'tabletop', 'music', 'role']","[0.17337099, 0.13704993, 0.13326399, 0.0418897, 0.041596886, 0.04067501, 0.03988374, 0.03249628, 0.031663343, 0.029341863]"
48,"['yes', 'interested', 'playable', 'playthroughs', 'away', 'wise', 'charm', 'switch', 'blown', 'combined']","[0.4643546, 0.050988574, 0.046608537, 0.041733846, 0.036469713, 0.03619567, 0.024676744, 0.021056764, 0.015972767, 0.014786247]"
49,"['tell', 'told', 'missed', 'eye', 'award', 'somehow', 'goty', 'kind', 'knew', 'entire']","[0.063924834, 0.028745538, 0.027959049, 0.026784964, 0.026506905, 0.025924774, 0.025593631, 0.02466766, 0.02363885, 0.023024695]"
50,"['gate', 'baldurs', 'do', 'fromsoft', 'buying', 'roll', 'dice', 'crpgs', 'playtime', 'hype']","[0.25739515, 0.24373227, 0.10554939, 0.065503865, 0.04448721, 0.038414866, 0.027377782, 0.02358171, 0.018394614, 0.014653369]"
51,"['build', 'slow', 'weapon', 'base', 'con', 'pro', 'character', 'variety', 'melee', 'child']","[0.27107906, 0.06128795, 0.060013015, 0.05824226, 0.040771, 0.03960954, 0.039124303, 0.037751373, 0.030476108, 0.025956618]"
52,"['skill', 'tree', 'balance', 'harder', 'issue', 'deal', 'change', 'nearly', 'path', 'campaign']","[0.23389377, 0.07770793, 0.043676663, 0.0389878, 0.03279846, 0.029680986, 0.029487606, 0.027936645, 0.022694694, 0.022657663]"
53,"['full', 'endgame', 'sale', 'pick', 'solid', 'go', 'total', 'grab', 'vibe', 'finding']","[0.148648, 0.11938296, 0.10504045, 0.05939938, 0.057523623, 0.034376834, 0.026872754, 0.02649782, 0.026007028, 0.022629665]"
54,"['day', 'community', 'skyrim', 'modding', 'hold', 'usually', 'today', 'newer', 'discovered', 'wife']","[0.19318318, 0.10494343, 0.09407312, 0.074139, 0.057202138, 0.039969034, 0.036123604, 0.021764956, 0.019217456, 0.016881483]"
55,"['try', 'hate', 'everyone', 'terrible', 'give', 'else', 'everything', 'believe', 'sad', 'constant']","[0.17050767, 0.12180605, 0.100051194, 0.0804993, 0.07270557, 0.06590006, 0.048740007, 0.047696494, 0.046515945, 0.037294842]"
56,"['original', 'fire', 'incredibly', 'came', 'first', 'studio', 'enjoyable', 'loving', 'plan', 'shot']","[0.17413715, 0.062009867, 0.057486143, 0.05594255, 0.050194025, 0.042851605, 0.038284738, 0.03285709, 0.028075874, 0.027699836]"
57,"['support', 'imo', 'job', 'upon', 'theyve', 'fixing', 'nightmare', 'reminds', 'outside', 'pleasure']","[0.23969267, 0.067200325, 0.061220817, 0.05269956, 0.031001743, 0.028045682, 0.02744525, 0.025833245, 0.024649292, 0.023153553]"
58,"['bit', 'pretty', 'overall', 'definitely', 'though', 'quite', 'little', 'better', 'liked', 'thing']","[0.09618257, 0.089336336, 0.057980433, 0.0565737, 0.054760344, 0.044383466, 0.043508437, 0.034554962, 0.0232059, 0.01798016]"
59,"['save', 'keep', 'crashing', 'load', 'cant', 'progress', 'continue', 'lose', 'file', 'kept']","[0.18411678, 0.15203573, 0.09268142, 0.07548392, 0.046679452, 0.039038453, 0.03662029, 0.033047494, 0.032853324, 0.025022207]"
60,"['quest', 'side', 'main', 'story', 'complete', 'mission', 'plot', 'line', 'casual', 'garbage']","[0.28018743, 0.106099784, 0.10225137, 0.08864486, 0.04694535, 0.04457612, 0.03543251, 0.034566797, 0.028155075, 0.026679521]"
61,"['fucking', 'currently', 'damn', 'otherwise', 'late', 'wasted', 'leave', 'trouble', 'optimized', 'cruel']","[0.19794455, 0.101915486, 0.09570438, 0.081189826, 0.07518592, 0.046738166, 0.040761955, 0.040470228, 0.029495206, 0.027590102]"
62,"['update', 'launch', 'version', 'negative', 'state', 'patch', 'current', 'since', 'release', 'released']","[0.11676459, 0.082069695, 0.081803076, 0.060455628, 0.04937259, 0.04494131, 0.039321184, 0.032941613, 0.032571446, 0.030871043]"
63,"['might', 'quality', 'put', 'expect', 'effort', 'aaa', 'improve', 'seem', 'balanced', 'value']","[0.121327944, 0.080029964, 0.06904922, 0.046257265, 0.039575595, 0.03178414, 0.02229174, 0.021715049, 0.020284643, 0.020144071]"
64,"['work', 'doesnt', 'running', 'window', 'tried', 'ruined', 'nothing', 'rate', 'lag', 'core']","[0.25944084, 0.10532338, 0.049914867, 0.04421941, 0.04119764, 0.022454439, 0.021691032, 0.01893719, 0.018521156, 0.018440746]"
